string_external_id,abundance
YCR028C-A,3060.232559
YCR030C,4276.968159
YCR031C,29596.64263
YCR033W,395.628344
YCR034W,3507.958726
YCR035C,3181.886481
YCR036W,1784.365878
YCR037C,503.708466
YCR038C,2108.249954
YCR042C,1155.251341
YCR043C,4235.714558
YCR044C,3049.113264
YCR046C,4153.580202
YCR047C,1616.855581
YCR051W,783.798887
YCR052W,2474.93209
YCR053W,26000.37041
YCR054C,8965.919913
YCR057C,16650.55818
YCR059C,3026.843989
YCR060W,1655.885285
YCR063W,1898.035017
YCR065W,357.977413
YCR066W,205.746596
YCR068W,3060.232559
YCR071C,1707.568347
YCR073C,56.866386
YCR073W-A,1155.251341
YCR076C,357.977413
YCR077C,655.803216
YCR079W,432.397164
YCR081W,1733.262297
YCR082W,981.420509
YCR083W,1010.900703
YCR084C,5841.226393
YCR086W,1923.060261
YCR087C-A,3432.581433
YCR088W,606.198294
YCR090C,3970.612643
YCR092C,736.464618
YCR093W,4297.641365
YCR094W,589.437791
YCR095C,5369.543076
YCR105W,2869.776294
YDL001W,951.715802
YDL002C,1758.86078
YDL003W,1041.493285
YDL005C,10785.44473
YDL006W,1524.843187
YDL008W,376.921209
YDL010W,1642.901353
YDL012C,2253.48995
YDL015C,23596.90299
YDL017W,1600.228597
YDL018C,3192.887447
YDL019C,1069.225892
YDL021W,2022.360037
YDL022W,807.196256
YDL025C,861.143461
YDL027C,450.486391
YDL029W,6654.104514
YDL030W,3917.632904
YDL033C,1511.585725
YDL036C,639.376549
YDL040C,7597.549342
YDL042C,3345.922367
YDL043C,3464.936461
YDL044C,2059.280198
YDL045W-A,258.915893
YDL046W,2835.839687
YDL047W,3970.612643
YDL048C,622.843006
YDL053C,1564.443453
YDL055C,97062.38497
YDL056W,521.1317
YDL058W,2325.226499
YDL059C,468.39465
YDL060W,1390.900226
YDL061C,5413.932878
YDL063C,2595.30427
YDL064W,2595.30427
YDL065C,5347.390686
YDL067C,35501.78491
YDL069C,555.549057
YDL070W,2926.114486
YDL072C,2835.839687
YDL074C,2982.181094
YDL076C,3060.232559
YDL077C,319.300389
YDL078C,3302.381076
YDL080C,2144.790022
YDL082W,133101.1188
YDL084W,51687.41119
YDL085C-A,876.399694
YDL087C,2265.485518
YDL088C,2744.835938
YDL089W,606.198294
YDL090C,3910.193747
YDL091C,232.714339
YDL092W,7995.645699
YDL095W,41519.73472
YDL097C,16761.48064
YDL098C,906.714285
YDL099W,5215.074324
YDL100C,17332.20464
YDL101C,3475.704567
YDL103C,5480.729474
YDL104C,1404.436492
YDL106C,6418.517997
YDL107W,736.464618
YDL108W,4401.469188
YDL109C,194.711698
YDL110C,2108.249954
YDL111C,7108.890555
YDL112W,861.143461
YDL113C,357.977413
YDL115C,1083.681248
YDL116W,8578.810965
YDL117W,376.921209
YDL119C,1551.271682
YDL120W,1564.443453
YDL121C,3258.69488
YDL122W,8965.919913
YDL123W,6784.793384
YDL124W,4031.317778
YDL125C,5413.932878
YDL126C,78351.11851
YDL128W,7770.941037
YDL129W,450.486391
YDL130W,22448.48709
YDL131W,21863.85255
YDL132W,376.921209
YDL133C-A,4910.36774
YDL134C,5615.081157
YDL135C,1668.843656
YDL136W,19095.81145
YDL137W,25012.47193
YDL139C,555.549057
YDL141W,1972.867337
YDL142C,876.399694
YDL143W,5534.976502
YDL144C,5171.19776
YDL145C,15238.26485
YDL146W,329.075379
YDL147W,5705.20707
YDL150W,997.973851
YDL155W,891.589403
YDL156W,3810.136233
YDL157C,752.325536
YDL159W,672.127009
YDL160C,42884.4114
YDL164C,148.811243
YDL165W,2120.447552
YDL166C,8349.102512
YDL167C,3573.309141
YDL168W,8374.530145
YDL170W,1197.659409
YDL171C,18915.44259
YDL173W,1141.028544
YDL174C,10785.44473
YDL175C,1797.084034
YDL176W,338.777852
YDL177C,906.714285
YDL178W,11368.00828
YDL181W,981.420509
YDL182W,28103.81771
YDL184C,11874.83906
YDL185W,199894.9525
YDL188C,4112.700375
YDL189W,891.589403
YDL190C,2595.30427
YDL192W,19342.62189
YDL195W,1835.103835
YDL197C,1910.557947
YDL201W,2630
YDL202W,6070.117975
YDL203C,98.941523
YDL205C,8480.520214
YDL207W,1040.166157
YDL209C,2653.066587
YDL211C,3356.785381
YDL212W,6512.436698
YDL213C,8965.919913
YDL215C,7400.879022
YDL219W,4611.411749
YDL220C,318.981158
YDL222C,329.075379
YDL225W,5615.081157
YDL226C,9556.400891
YDL229W,170038.6345
YDL230W,2687.57228
YDL232W,2431.80295
YDL233W,1010.900703
YDL234C,2455.326041
YDL235C,6325.023224
YDL236W,2982.181094
YDL238C,279.403257
YDL240W,468.39465
YDL241W,1295.187544
YDR001C,1835.103835
YDR003W,1225.722176
YDR004W,238.011792
YDR005C,1720.427389
YDR007W,1847.732991
YDR009W,720.517291
YDR011W,1295.187544
YDR012W,151453.9271
YDR013W,1431.411266
YDR014W,720.517291
YDR016C,799.416322
YDR017C,1935.542162
YDR019C,4092.307504
YDR020C,4276.968159
YDR021W,3089.642529
YDR022C,486.132248
YDR026C,432.397164
YDR027C,2537.216686
YDR028C,2560.491457
YDR032C,2325.226499
YDR033W,182461.9225
YDR034C,450.486391
YDR034W-B,861.143461
YDR035W,8965.919913
YDR036C,3950.441125
YDR038C,606.198294
YDR039C,639.376549
YDR040C,688.35166
YDR041W,8476.479863
YDR043C,555.549057
YDR044W,22029.30264
YDR047W,9223.435023
YDR049W,3930.301472
YDR050C,207073.4858
YDR051C,3170.875939
YDR054C,8171.781919
YDR055W,11676.92473
YDR056C,1597.251841
YDR059C,981.420509
YDR060W,15024.36161
YDR061W,1577.587385
YDR062W,54505.2547
YDR063W,3037.98376
YDR065W,1668.843656
YDR066C,1054.721202
YDR068W,3269.630172
YDR069C,427.845261
YDR070C,936.775973
YDR071C,8681.521714
YDR072C,606.198294
YDR073W,1025.559692
YDR074W,22725.25803
YDR075W,2835.839687
YDR076W,1054.721202
YDR077W,1630
YDR079W,468.39465
YDR080W,1169.430224
YDR081C,571.956674
YDR083W,2779.050022
YDR084C,1040.166157
YDR087C,6964.269049
YDR088C,1493.342691
YDR089W,172.147832
YDR091C,6278.43555
YDR092W,8965.919913
YDR096W,432.397164
YDR097C,5325.266696
YDR098C,11006.25315
YDR099W,47603.22404
YDR100W,4537.58737
YDR101C,45117.5307
YDR103W,1898.035017
YDR108W,8758.802888
YDR110W,1511.585725
YDR111C,3475.704567
YDR115W,194.711698
YDR116C,7012.373832
YDR117C,3870.074331
YDR118W,1332.300733
YDR120C,15545.46074
YDR121W,2096.034577
YDR122W,279.403257
YDR123C,783.798887
YDR124W,3514.84267
YDR125C,142.835745
YDR127W,6418.517997
YDR128W,555.549057
YDR129C,3514.84267
YDR132C,172.147832
YDR135C,395.628344
YDR137W,589.437791
YDR138W,1336.41794
YDR139C,1308.967217
YDR140W,3389.321577
YDR141C,2699.049385
YDR142C,589.437791
YDR143C,172.147832
YDR144C,538.409577
YDR145W,930.120259
YDR146C,688.35166
YDR147W,3421.779388
YDR148C,7970.580638
YDR152W,10293.73198
YDR153C,8096.149373
YDR155C,85989.8774
YDR156W,3104.608743
