internal_id,string_external_id,abundance
6883899,b3306,1255
6884511,b3980,1889
6881747,b0947,44.2
6883337,b2675,31.4
6884876,b4383,368
6882573,b1832,148
6884452,b3909,0.523
6882774,b2059,0.271
6880953,b0073,404
6883383,b2728,1.04
6884133,b3553,178
6883828,b3222,1.83
6883227,b2542,0.12
6884916,b4467,1.53
6884372,b3820,50.0
6884978,b4566,0.045
6882490,b1749,194
6882532,b1791,0.004
6881492,b0678,181
6882348,b1603,167
6883389,b2734,0
6882493,b1752,0.199
6883817,b3210,38.8
6883811,b3204,282
6883408,b2753,0.746
6881478,b0653,2.18
6883000,b2301,32.7
6884591,b4065,1.35
6882078,b1300,1.75
6883991,b3400,39.8
6882935,b2235,123
6882762,b2047,0.137
6882512,b1771,0.175
6881535,b0727,542
6881365,b0529,75.2
6882323,b1575,0.043
6883391,b2736,0.343
6881007,b0130,0.441
6884015,b3426,133
6883807,b3200,85.7
6883610,b2984,0.015
6884316,b3744,75.6
6881600,b0799,0.281
6883209,b2524,60.4
6882574,b1833,0.473
6884906,b4423,0
6884023,b3437,12.4
6882595,b1854,407
6883551,b2914,468
6882946,b2247,0.69
6883572,b2938,167
6882654,b1919,193
6884590,b4064,36.9
6884892,b4399,0.301
6884483,b3942,750
6881618,b0817,8.72
6882921,b2219,0.171
6883374,b2719,0.166
6883855,b3251,466
6881848,b1057,0
6882379,b1634,5.23
6883128,b2443,0.751
6883231,b2546,0.009
6881738,b0938,0
6884080,b3497,3.33
6880885,b0001,0
6884768,b4256,25.4
6881832,b1040,40.0
6882888,b2183,67.5
6881480,b0655,837
6882019,b1241,1256
6881382,b0550,0
6882649,b1914,33.1
6881570,b0769,0.234
6881489,b0675,76.0
6881939,b1150,0
6884670,b4148,0
6881385,b0554,0.027
6883342,b2682,0.015
6882699,b1972,1.17
6882876,b2171,208
6881613,b0812,2541
6882146,b1378,19.2
6883073,b2381,7.22
6883282,b2602,0.225
6881627,b0826,4.08
6883064,b2372,0.026
6881640,b0839,225
6881580,b0779,31.9
6880992,b0115,966
6882115,b1338,0.105
6883528,b2890,498
6884006,b3415,0.762
6881339,b0497,0.009
6881170,b0318,0.184
6882900,b2198,0
6882445,b1702,397
6884079,b3496,0.318
6881133,b0275,0.014
6883739,b3128,1.56
6881933,b1143,0
6882276,b1523,0.013
6880998,b0121,76.1
6883783,b3176,257
6882228,b1469,2.04
6884735,b4217,5.38
6882077,b1299,21.0
6883837,b3231,2158
6881499,b0685,13.8
6881395,b0567,0.925
6883847,b3241,0.001
6881508,b0696,0.171
6881219,b0373,0.235
6883196,b2511,154
6881198,b0348,0
6884207,b3628,1.8
6882628,b1887,278
6881373,b0540,0.235
6880917,b0035,0
6881213,b0365,0.406
6882901,b2199,0.045
6881623,b0822,18.8
6881276,b0433,0.458
6883243,b2558,0.025
6882550,b1809,382
6883139,b2454,0
6882878,b2173,2.69
6884772,b4260,143
6883892,b3299,202
6882875,b2170,0
6880958,b0078,308
6881293,b0450,55.4
6884078,b3495,439795
6881918,b1127,170
6883824,b3218,0.26
6881971,b1188,19.6
6883584,b2951,127
6884417,b3874,2.47
6883801,b3194,6.99
6880967,b0088,40.7
6884989,b4596,4.88
6883697,b3080,0.002
6883267,b2582,7.69
6883652,b3032,46.0
6883714,b3097,11.6
6884507,b3967,8.89
6881479,b0654,5.31
6883665,b3047,1.11
6882306,b1555,20.1
6882704,b1981,26.9
6880909,b0027,0.992
6884820,b4319,0.15
6882061,b1283,62.0
6882587,b1846,66.6
6881428,b0600,8.17
6882905,b2203,0.222
6884623,b4098,4.12
6881353,b0516,0.432
6881331,b0489,33.2
6882422,b1679,10.3
6883463,b2810,5.72
6882419,b1676,1161
6880902,b0020,0.473
6884232,b3653,0.964
6882840,b2133,220
6882617,b1876,131
6882559,b1818,169
6882375,b1630,0.54
6884059,b3474,0.142
6882365,b1620,0.233
6884718,b4199,0
6881655,b0854,462
6884832,b4331,0.718
6883322,b2660,2.06
6882390,b1645,0.365
6881769,b0969,23.4
6883119,b2434,8.22
6884262,b3687,96.9
6882339,b1594,2.58
6883464,b2811,40.9
6882257,b1500,0.009
6884869,b4376,384
6884367,b3813,23.0
6883859,b3256,172
6881550,b0742,126
6884482,b3941,364
6882093,b1315,0.644
6881414,b0586,57.3
6881847,b1056,90.3
6882157,b1389,0
6883089,b2400,259
6881050,b0174,19.1
6884963,b4542,0
6884751,b4237,1.2
6881885,b1094,2285
6883226,b2541,0.002
6881124,b0265,0.014
6881672,b0871,291
6884717,b4198,0.736
6883841,b3235,4.5
6881586,b0785,103
6881692,b0892,7.15
6883253,b2568,51.4
6881138,b0281,0.627
6884827,b4326,0.692
6881977,b1194,28.1
6884787,b4280,4.93
6881139,b0283,0.272
6884336,b3774,1595
6881166,b0314,0.47
6882366,b1621,0.544
6881833,b1041,0.768
6881756,b0956,119
6882183,b1419,0.023
6884473,b3932,95.5
6883206,b2521,410
6883690,b3073,7.91
6883315,b2642,1.36
6883953,b3360,2.04
6882665,b1930,162
6882790,b2075,0.249
6882751,b2036,254
6882114,b1337,0.276
6884253,b3675,0.705
6882515,b1774,0
6881322,b0480,117
6881884,b1093,905
6882682,b1951,0.004
6881500,b0686,82.6
6884837,b4336,4.84
6884883,b4390,21.1
6881436,b0608,45.4
6882371,b1626,0.135
6882434,b1691,0.059
6882389,b1644,1.1
6881446,b0619,0.247
6882963,b2264,2.57
6884817,b4316,4.57
6883671,b3053,17.3
6881457,b0632,160
6881686,b0886,16.9
6883796,b3189,65.9
6884728,b4210,0.008
6882531,b1790,0.004
6881087,b0219,16.3
6881452,b0627,16.1
6881398,b0570,25.6
6881569,b0768,0.045
6882464,b1723,179
6882412,b1669,0.333
6882231,b1474,1.22
6881037,b0160,2.81
6880910,b0028,234
6883237,b2552,7.52
6883029,b2330,177
6880905,b0023,1190
6881732,b0932,208
6882148,b1380,151
6882621,b1880,0.085
6883560,b2924,186
6883614,b2988,48.7
6884643,b4120,0.403
6883562,b2926,3022
6883520,b2880,3.9
6884573,b4047,0.007
6882902,b2200,0.005
6882593,b1852,280
6883550,b2913,626
6880950,b0070,0.016
6884655,b4132,0.045
6883768,b3159,0.172
6881904,b1113,0.394
6882051,b1273,223
6881434,b0606,181
6884307,b3735,588
6882321,b1572,0.007
6884358,b3803,103
6884526,b3995,261
6881803,b1004,1258
6881236,b0391,355
6884186,b3607,66.4
6882726,b2010,0.189
6883476,b2826,0
6882639,b1900,0.85
6884298,b3726,0.636
6881165,b0313,0.965
6882760,b2045,0.089
6882792,b2077,0.022
6881546,b0738,27.8
6884711,b4192,3.81
6882255,b1498,12.3
6882424,b1681,17.1
6883603,b2975,2.04
6883459,b2806,10.6
6881224,b0379,0
6884027,b3441,1.0
6881625,b0824,0.203
6884950,b4522,0.017
6884549,b4022,7.32
6882962,b2263,1.08
6884177,b3598,0
6882920,b2218,3.77
6883881,b3288,107
6884732,b4214,260
6883373,b2718,0.171
6884976,b4559,0
6883159,b2474,0.704
6881201,b0351,4.33
6881821,b1025,0.301
6884000,b3409,47.3
6884411,b3868,27.2
6880948,b0068,157
6881141,b0285,0.035
6883730,b3117,21.1
6884910,b4460,0.019
6883939,b3346,72.8
6884138,b3558,3.71
6882494,b1753,1.59
6881607,b0806,0.365
6883074,b2382,1.19
6882305,b1554,0.242
6883950,b3357,669
6882746,b2030,0.26
6881375,b0543,0.443
6884153,b3573,0
6882571,b1830,147
6884795,b4293,0.385
6882398,b1653,1.13
6883390,b2735,4.38
6881950,b1164,0.01
6881619,b0818,0.003
6884721,b4202,1547
6883301,b2624,0
6881034,b0157,0.075
6881432,b0604,20.7
6881592,b0791,0
6881727,b0927,84.6
6882291,b1538,154
6882316,b1565,0
6883386,b2731,0.41
6881454,b0629,0.002
6884053,b3468,0.068
6883037,b2340,7.92
6882011,b1229,0
6883147,b2462,0.004
6884727,b4209,3.34
6883043,b2346,16.0
6881010,b0133,424
6882489,b1748,126
6884933,b4484,1.71
6884380,b3828,6.02
6880931,b0049,16.6
6883093,b2408,0
6883277,b2597,925
6881052,b0176,4.81
6881347,b0509,0.049
6883210,b2525,280
6881717,b0917,202
6883724,b3107,0
6882223,b1464,5.35
6884699,b4180,31.2
6883012,b2313,5.12
6881689,b0889,1018
6884063,b3478,0.244
6884705,b4186,0
6882882,b2177,0.772
6881520,b0711,34.6
6884234,b3655,15.8
6881075,b0199,78.6
6883085,b2394,0.272
6883887,b3294,1119
6882749,b2034,50.1
6883167,b2482,0
6884547,b4020,1.15
6884815,b4314,10.9
6883733,b3120,0
6881199,b0349,1.17
6884551,b4024,107
6884586,b4060,0
6884129,b3549,3.05
6882039,b1261,451
6883140,b2455,0.531
6884029,b3444,0.041
6883190,b2505,0
6884117,b3536,0.77
6881384,b0552,0.26
6881027,b0150,43.1
6882549,b1808,0.204
6884154,b3574,16.8
6881554,b0753,550
6881545,b0737,25.6
6883782,b3175,123
6884161,b3581,1.88
6882219,b1460,0.384
6881447,b0620,3.16
6882363,b1618,6.13
6883333,b2671,2.34
6884722,b4203,1755
6882998,b2299,131
6881438,b0611,19.6
6882463,b1722,0.589
6884333,b3771,43.2
6881932,b1141,0.853
6882416,b1673,0.81
6882534,b1793,4.45
6884929,b4480,13.6
6881476,b0651,122
6881177,b0326,0.014
6881777,b0978,4.72
6883412,b2757,0.006
6884762,b4249,0
6881057,b0181,167
6883647,b3027,0
6883973,b3382,0.005
6882175,b1409,0
6884071,b3486,4.25
6882611,b1870,40.1
6882835,b2128,1.77
6884843,b4347,0
6884857,b4361,3.53
6884835,b4334,0.316
6883255,b2570,1.04
6881270,b0427,0.1
6882278,b1525,7.54
6883651,b3031,6192
6881296,b0453,366
6881083,b0213,0.241
6882267,b1514,0.475
6881966,b1183,0
6881945,b1159,0.057
6884729,b4211,37.0
6882353,b1608,28.4
6884265,b3690,0.498
6883502,b2853,0
6881371,b0535,1.06
6883805,b3198,78.0
6882211,b1449,196
6883707,b3090,0.347
6884905,b4421,0
6882377,b1632,0.901
6884300,b3728,330
6882324,b1576,0.154
6882004,b1221,458
6881469,b0644,0.57
6883654,b3034,106
6882292,b1539,399
6881325,b0483,5.59
6882814,b2103,232
6883884,b3291,128
6883752,b3143,0.222
6883044,b2347,2.92
6882411,b1668,18.5
6881101,b0237,467
6882486,b1745,1.57
6882745,b2029,1060
6884980,b4568,0
6881486,b0661,13.0
6881670,b0869,2.07
6882431,b1688,1.34
6882519,b1778,279
6881251,b0408,68.8
6883426,b2771,0.005
6882173,b1407,0.015
6884665,b4143,2479
6882310,b1559,0.21
6883116,b2431,113
6884836,b4335,0.065
6882538,b1797,1.17
6882630,b1889,6.43
6881085,b0215,0.669
6882968,b2269,0.297
6881204,b0354,34.4
6881100,b0234,0.017
6881694,b0894,3.92
6881000,b0123,71.9
6881421,b0593,104
6880983,b0106,1.2
6881907,b1116,6.85
6882023,b1245,23.5
6882955,b2256,2.26
6882081,b1303,2.09
6880926,b0044,0
6884536,b4005,148
6883032,b2333,1.75
6884574,b4048,0.002
6884292,b3720,0.005
6884222,b3643,3.31
6884571,b4045,645
6880911,b0029,35.7
6881793,b0994,9.08
6883713,b3096,0
6883843,b3237,14.4
6883396,b2741,146
6882367,b1622,5.41
6882364,b1619,447
6882622,b1881,298
6881252,b0409,41.6
6881310,b0468,4.64
6881287,b0444,43.1
6881574,b0773,170
6883292,b2614,771
6884094,b3512,31.0
6881426,b0598,231
6882282,b1529,0.52
6884967,b4547,6.04
6882679,b1948,1.42
6883217,b2532,59.9
6883659,b3040,2.44
6883741,b3130,1.62
6884089,b3507,0.541
6881913,b1122,0
6884238,b3660,0.018
6881042,b0166,668
6884654,b4131,6.11
6884569,b4043,48.1
6884880,b4387,3.2
6883530,b2892,3.06
6881779,b0980,3.77
6882347,b1602,209
6883918,b3325,0.586
6881752,b0952,16.5
6883239,b2554,3.67
6884189,b3610,444
6882817,b2106,0
6881864,b1073,0.403
6884587,b4061,0.149
6881817,b1021,0
6881282,b0439,230
6884879,b4386,9.95
6883013,b2314,15.8
6881750,b0950,0.175
6881334,b0492,287
6883382,b2727,2.09
6882410,b1667,434
6882517,b1776,0.75
6880939,b0059,30.4
6881881,b1090,9.07
6881070,b0194,453
6881356,b0520,1.42
6884398,b3849,0.075
6884776,b4264,1.7
6884544,b4017,1.05
6882469,b1728,0
6884900,b4410,0.034
6881047,b0171,160
6883191,b2506,0.518
6884730,b4212,0.685
6881485,b0660,193
6883710,b3093,1.16
6881855,b1064,383
6883236,b2551,1593
6882802,b2091,495
6884120,b3539,0.313
6880986,b0109,122
6884812,b4311,0.315
6881225,b0380,1.36
6881404,b0576,0.091
6882916,b2214,0.373
6883450,b2797,2.43
6883888,b3295,970
6883318,b2645,0.004
6882849,b2144,4.5
6882730,b2014,0.279
6881620,b0819,311
6883338,b2676,55.2
6882624,b1883,7.01
6882152,b1384,0.357
6881522,b0713,6.23
6883298,b2620,35.7
6884227,b3648,59.3
6883059,b2367,0
6882106,b1329,107
6881729,b0929,598
6883780,b3172,337
6884032,b3447,66.7
6883607,b2980,7.08
6882705,b1982,37.1
6883368,b2713,0
6882446,b1703,36.9
6881377,b0545,1.67
6884100,b3518,6.95
6881135,b0278,0.747
6881475,b0650,0.91
6882029,b1251,483
6884124,b3543,19.7
6883588,b2955,2.78
6883773,b3164,757
6882361,b1616,0.04
6884865,b4372,9.55
6884413,b3870,602
6881423,b0595,213
6882695,b1968,1.57
6883820,b3213,248
6880895,b0011,0.004
6882724,b2008,0.118
6883233,b2548,0.172
6884051,b3466,0.006
6883613,b2987,0
6883958,b3365,2.16
6882318,b1569,0
6883120,b2435,2.82
6884908,b4453,0
6881453,b0628,72.7
6882162,b1394,0.537
6882360,b1615,0.027
6882748,b2033,10.4
6881774,b0975,0
6883341,b2679,64.5
6884217,b3638,0.01
6883138,b2453,0.268
6883156,b2471,133
6883620,b2994,23.0
6882537,b1796,0
6884532,b4001,0.74
6883183,b2498,722
6882215,b1453,0.01
6881854,b1063,28.7
6883259,b2574,7.04
6882329,b1584,33.9
6883879,b3284,0.081
6882608,b1867,84.7
6881359,b0523,260
6883091,b2406,0
6882104,b1327,4.93
6881975,b1192,13.5
6880924,b0042,1.87
6882163,b1395,0
6882196,b1433,0
6881943,b1156,0.059
6884132,b3552,15.4
6882268,b1515,3.13
6882973,b2274,0
6882810,b2099,4.09
6884385,b3833,206
6882090,b1312,0.004
6883943,b3350,4.18
